,Indicator,Province,Value,year,month
0,Tourists Number (Overnight Visitors),Al Bahah,39183.0,2023,01
1,Tourists Number (Overnight Visitors),Al Bahah,37792.0,2022,02
2,Tourists Number (Overnight Visitors),Al Bahah,60160.0,2023,05
3,Tourists Number (Overnight Visitors),Al Bahah,56620.0,2021,09
4,Tourists Number (Overnight Visitors),Al Bahah,31937.0,2022,10
5,Tourists Number (Overnight Visitors),Al Bahah,34633.0,2022,11
6,Tourists Number (Overnight Visitors),Al Bahah,20168.0,2022,12
7,Tourists Number (Overnight Visitors),AlQassim,262738.0,2021,02
8,Tourists Number (Overnight Visitors),AlQassim,351766.0,2022,03
9,Tourists Number (Overnight Visitors),AlQassim,433533.0,2021,05
10,Tourists Number (Overnight Visitors),AlQassim,384155.0,2023,07
11,Tourists Number (Overnight Visitors),AlQassim,286350.0,2021,09
12,Tourists Number (Overnight Visitors),AlQassim,189074.0,2022,10
13,Tourists Number (Overnight Visitors),AlQassim,334759.0,2023,12
14,Tourists Number (Overnight Visitors),Aseer,382596.0,2021,02
15,Tourists Number (Overnight Visitors),Aseer,314178.0,2021,03
16,Tourists Number (Overnight Visitors),Aseer,391049.0,2021,04
17,Tourists Number (Overnight Visitors),Aseer,413729.0,2023,05
18,Tourists Number (Overnight Visitors),Aseer,745729.0,2022,08
19,Tourists Number (Overnight Visitors),Aseer,646052.0,2023,08
20,Tourists Number (Overnight Visitors),Aseer,309502.0,2021,09
21,Tourists Number (Overnight Visitors),Aseer,278697.0,2022,09
22,Tourists Number (Overnight Visitors),Eastern Province,958961.0,2022,03
23,Tourists Number (Overnight Visitors),Eastern Province,1395174.0,2023,06
24,Tourists Number (Overnight Visitors),Eastern Province,1146011.0,2022,07
25,Tourists Number (Overnight Visitors),Eastern Province,1058265.0,2022,11
26,Tourists Number (Overnight Visitors),Eastern Province,709001.0,2021,12
27,Tourists Number (Overnight Visitors),Hail,177308.0,2021,01
28,Tourists Number (Overnight Visitors),Hail,127236.0,2023,02
29,Tourists Number (Overnight Visitors),Hail,119169.0,2021,03
30,Tourists Number (Overnight Visitors),Hail,103228.0,2021,04
31,Tourists Number (Overnight Visitors),Hail,200512.0,2021,05
32,Tourists Number (Overnight Visitors),Hail,165272.0,2022,05
33,Tourists Number (Overnight Visitors),Hail,246875.0,2021,07
34,Tourists Number (Overnight Visitors),Hail,169923.0,2022,08
35,Tourists Number (Overnight Visitors),Hail,134874.0,2023,08
36,Tourists Number (Overnight Visitors),Hail,124394.0,2023,10
37,Tourists Number (Overnight Visitors),Jazan,374146.0,2023,01
38,Tourists Number (Overnight Visitors),Jazan,152348.0,2023,06
39,Tourists Number (Overnight Visitors),Jazan,264803.0,2021,07
40,Tourists Number (Overnight Visitors),Jazan,204674.0,2023,12
41,Tourists Number (Overnight Visitors),Jouf,74255.0,2023,01
42,Tourists Number (Overnight Visitors),Jouf,79146.0,2023,02
43,Tourists Number (Overnight Visitors),Jouf,97938.0,2023,03
44,Tourists Number (Overnight Visitors),Jouf,75748.0,2022,06
45,Tourists Number (Overnight Visitors),Jouf,140792.0,2023,06
46,Tourists Number (Overnight Visitors),Jouf,165665.0,2022,07
47,Tourists Number (Overnight Visitors),Jouf,100025.0,2023,07
48,Tourists Number (Overnight Visitors),Jouf,65821.0,2021,08
49,Tourists Number (Overnight Visitors),Jouf,102999.0,2022,10
50,Tourists Number (Overnight Visitors),Madinah,424782.0,2023,01
51,Tourists Number (Overnight Visitors),Madinah,353315.0,2023,05
52,Tourists Number (Overnight Visitors),Madinah,503309.0,2021,07
53,Tourists Number (Overnight Visitors),Madinah,325546.0,2021,08
54,Tourists Number (Overnight Visitors),Madinah,539423.0,2022,08
55,Tourists Number (Overnight Visitors),Madinah,525512.0,2023,08
56,Tourists Number (Overnight Visitors),Madinah,285685.0,2021,09
57,Tourists Number (Overnight Visitors),Madinah,454869.0,2023,09
58,Tourists Number (Overnight Visitors),Madinah,444321.0,2023,10
59,Tourists Number (Overnight Visitors),Madinah,349375.0,2021,12
60,Tourists Number (Overnight Visitors),Makkah,1233271.0,2021,02
61,Tourists Number (Overnight Visitors),Makkah,1790593.0,2022,02
62,Tourists Number (Overnight Visitors),Makkah,1195801.0,2021,06
63,Tourists Number (Overnight Visitors),Makkah,2726540.0,2023,06
64,Tourists Number (Overnight Visitors),Makkah,1787497.0,2021,08
65,Tourists Number (Overnight Visitors),Makkah,1966858.0,2022,08
66,Tourists Number (Overnight Visitors),Makkah,1584524.0,2023,09
67,Tourists Number (Overnight Visitors),Makkah,1185032.0,2022,10
68,Tourists Number (Overnight Visitors),Makkah,1610516.0,2023,10
69,Tourists Number (Overnight Visitors),Makkah,1658113.0,2023,12
70,Tourists Number (Overnight Visitors),Najran,106398.0,2023,01
71,Tourists Number (Overnight Visitors),Najran,64037.0,2021,02
72,Tourists Number (Overnight Visitors),Najran,63068.0,2022,03
73,Tourists Number (Overnight Visitors),Najran,112498.0,2022,04
74,Tourists Number (Overnight Visitors),Najran,48028.0,2022,09
75,Tourists Number (Overnight Visitors),Najran,101670.0,2022,11
76,Tourists Number (Overnight Visitors),Najran,52356.0,2022,12
77,Tourists Number (Overnight Visitors),Northern Borders,62842.0,2021,02
78,Tourists Number (Overnight Visitors),Northern Borders,91724.0,2023,02
79,Tourists Number (Overnight Visitors),Northern Borders,65435.0,2021,04
80,Tourists Number (Overnight Visitors),Northern Borders,92875.0,2021,05
81,Tourists Number (Overnight Visitors),Northern Borders,98049.0,2022,05
82,Tourists Number (Overnight Visitors),Northern Borders,48676.0,2021,06
83,Tourists Number (Overnight Visitors),Northern Borders,45107.0,2022,06
84,Tourists Number (Overnight Visitors),Northern Borders,134903.0,2022,07
85,Tourists Number (Overnight Visitors),Northern Borders,85676.0,2023,07
86,Tourists Number (Overnight Visitors),Northern Borders,48176.0,2021,09
87,Tourists Number (Overnight Visitors),Northern Borders,84148.0,2021,11
88,Tourists Number (Overnight Visitors),Northern Borders,54111.0,2021,12
89,Tourists Number (Overnight Visitors),Riyadh,1464860.0,2022,02
90,Tourists Number (Overnight Visitors),Riyadh,1130922.0,2023,02
91,Tourists Number (Overnight Visitors),Riyadh,1042259.0,2023,04
92,Tourists Number (Overnight Visitors),Riyadh,873794.0,2022,06
93,Tourists Number (Overnight Visitors),Riyadh,1801836.0,2022,07
94,Tourists Number (Overnight Visitors),Riyadh,1643791.0,2022,11
95,Tourists Number (Overnight Visitors),Riyadh,961922.0,2021,12
96,Tourists Number (Overnight Visitors),Tabuk,166926.0,2021,02
97,Tourists Number (Overnight Visitors),Tabuk,166622.0,2023,02
98,Tourists Number (Overnight Visitors),Tabuk,198135.0,2023,04
99,Tourists Number (Overnight Visitors),Tabuk,171719.0,2021,06
100,Tourists Number (Overnight Visitors),Tabuk,139350.0,2021,09
101,Tourists Number (Overnight Visitors),Tabuk,231927.0,2023,12
102,Tourists Number (Overnight Visitors),Total,6293956.0,2023,01
103,Tourists Number (Overnight Visitors),Total,6449938.0,2022,02
104,Tourists Number (Overnight Visitors),Total,4431003.0,2021,04
105,Tourists Number (Overnight Visitors),Total,8118256.0,2023,07
106,Tourists Number (Overnight Visitors),Total,7008438.0,2022,08
107,Tourists Number (Overnight Visitors),Total,4185297.0,2021,09
108,Tourists Number (Overnight Visitors),Total,4196039.0,2022,09
109,Tourists Number (Overnight Visitors),Total,6073827.0,2023,09
110,Tourists Number (Overnight Visitors),Total,4838186.0,2022,10
111,Tourists Number (Overnight Visitors),Total,6202019.0,2023,10
112,Tourists Spending (SAR),Al Bahah,58453265.0,2021,04
113,Tourists Spending (SAR),Al Bahah,128893854.82,2021,06
114,Tourists Spending (SAR),Al Bahah,345643555.62,2023,07
115,Tourists Spending (SAR),Al Bahah,34828734.47,2022,09
116,Tourists Spending (SAR),Al Bahah,72044390.18,2021,11
117,Tourists Spending (SAR),Al Bahah,35285401.35,2021,12
118,Tourists Spending (SAR),Al Bahah,45747470.53,2023,12
119,Tourists Spending (SAR),AlQassim,329434917.29,2021,01
120,Tourists Spending (SAR),AlQassim,249390131.79,2021,02
121,Tourists Spending (SAR),AlQassim,448811010.16,2023,02
122,Tourists Spending (SAR),AlQassim,534286112.25,2022,04
123,Tourists Spending (SAR),AlQassim,328844999.02,2023,05
124,Tourists Spending (SAR),AlQassim,330377940.12,2022,06
125,Tourists Spending (SAR),AlQassim,283666243.79,2021,09
126,Tourists Spending (SAR),AlQassim,215355649.85,2021,12
127,Tourists Spending (SAR),AlQassim,249927776.19,2022,12
128,Tourists Spending (SAR),Aseer,669807178.96,2023,03
129,Tourists Spending (SAR),Aseer,497944048.19,2021,04
130,Tourists Spending (SAR),Aseer,1895929410.85,2023,06
131,Tourists Spending (SAR),Aseer,1909364782.91,2023,07
132,Tourists Spending (SAR),Aseer,395687999.5,2021,09
133,Tourists Spending (SAR),Aseer,579206073.93,2021,11
134,Tourists Spending (SAR),Aseer,768315366.19,2023,12
135,Tourists Spending (SAR),Eastern Province,1150978575.99,2021,04
136,Tourists Spending (SAR),Eastern Province,1252936120.23,2022,05
137,Tourists Spending (SAR),Eastern Province,1303936194.54,2022,07
138,Tourists Spending (SAR),Eastern Province,1541475919.28,2023,08
139,Tourists Spending (SAR),Eastern Province,747608920.02,2021,09
140,Tourists Spending (SAR),Eastern Province,731982242.12,2022,09
141,Tourists Spending (SAR),Eastern Province,1526308843.29,2023,09
142,Tourists Spending (SAR),Eastern Province,943969219.7,2022,10
143,Tourists Spending (SAR),Eastern Province,1138144705.14,2021,11
144,Tourists Spending (SAR),Eastern Province,1382214502.84,2022,11
145,Tourists Spending (SAR),Eastern Province,1106544241.29,2023,12
146,Tourists Spending (SAR),Hail,156934242.77,2021,12
147,Tourists Spending (SAR),Jazan,449426257.04,2021,05
148,Tourists Spending (SAR),Jazan,138910048.06,2023,07
149,Tourists Spending (SAR),Jazan,187360471.91,2023,08
150,Tourists Spending (SAR),Jazan,102723607.32,2022,09
151,Tourists Spending (SAR),Jazan,151310717.77,2023,09
152,Tourists Spending (SAR),Jouf,136472639.62,2021,01
153,Tourists Spending (SAR),Jouf,116544028.44,2021,04
154,Tourists Spending (SAR),Jouf,254815106.46,2022,05
155,Tourists Spending (SAR),Jouf,66347488.01,2023,05
156,Tourists Spending (SAR),Jouf,78641681.16,2021,06
157,Tourists Spending (SAR),Jouf,161352003.57,2021,10
158,Tourists Spending (SAR),Jouf,187208521.29,2021,11
159,Tourists Spending (SAR),Madinah,430928872.48,2023,02
160,Tourists Spending (SAR),Madinah,313648817.83,2021,04
161,Tourists Spending (SAR),Madinah,373609572.47,2023,05
162,Tourists Spending (SAR),Madinah,299544240.08,2021,06
163,Tourists Spending (SAR),Madinah,689960043.58,2023,06
164,Tourists Spending (SAR),Madinah,396288131.73,2021,09
165,Tourists Spending (SAR),Madinah,397554189.19,2021,12
166,Tourists Spending (SAR),Madinah,596799989.9,2023,12
167,Tourists Spending (SAR),Makkah,1788620353.67,2023,02
168,Tourists Spending (SAR),Makkah,4447572018.01,2022,04
169,Tourists Spending (SAR),Makkah,1321300980.25,2022,10
170,Tourists Spending (SAR),Makkah,3982305995.2,2021,11
171,Tourists Spending (SAR),Najran,237702768.26,2023,06
172,Tourists Spending (SAR),Najran,418252613.13,2022,07
173,Tourists Spending (SAR),Najran,165986105.9,2021,08
174,Tourists Spending (SAR),Najran,609018677.08,2021,10
175,Tourists Spending (SAR),Najran,270084319.12,2023,10
176,Tourists Spending (SAR),Northern Borders,340435269.13,2022,02
177,Tourists Spending (SAR),Northern Borders,117727117.55,2023,05
178,Tourists Spending (SAR),Northern Borders,144396378.23,2021,08
179,Tourists Spending (SAR),Northern Borders,161675028.59,2023,08
180,Tourists Spending (SAR),Northern Borders,173448007.34,2021,10
181,Tourists Spending (SAR),Northern Borders,244937409.53,2023,11
182,Tourists Spending (SAR),Riyadh,2626343102.92,2022,01
183,Tourists Spending (SAR),Riyadh,1993535097.88,2023,02
184,Tourists Spending (SAR),Riyadh,2357876062.65,2023,03
185,Tourists Spending (SAR),Riyadh,1787131231.08,2021,05
186,Tourists Spending (SAR),Riyadh,1312292114.39,2022,06
187,Tourists Spending (SAR),Riyadh,2557423836.37,2021,07
188,Tourists Spending (SAR),Riyadh,2495892559.88,2021,11
189,Tourists Spending (SAR),Riyadh,3251684597.87,2023,11
190,Tourists Spending (SAR),Riyadh,1411915914.68,2022,12
191,Tourists Spending (SAR),Riyadh,2978127647.9,2023,12
192,Tourists Spending (SAR),Tabuk,328139941.01,2021,02
193,Tourists Spending (SAR),Tabuk,568517938.18,2022,05
194,Tourists Spending (SAR),Tabuk,505486594.57,2023,06
195,Tourists Spending (SAR),Tabuk,875841185.5,2022,07
202,Tourists Number (Overnight Visitors),Al Bahah,69457.0,2023,04
203,Tourists Number (Overnight Visitors),Al Bahah,158744.0,2021,05
204,Tourists Number (Overnight Visitors),Al Bahah,95902.0,2021,06
205,Tourists Number (Overnight Visitors),Al Bahah,29098.0,2022,06
206,Tourists Number (Overnight Visitors),Al Bahah,33474.0,2021,12
207,Tourists Number (Overnight Visitors),AlQassim,266316.0,2021,03
208,Tourists Number (Overnight Visitors),AlQassim,312158.0,2023,03
209,Tourists Number (Overnight Visitors),AlQassim,274187.0,2022,08
210,Tourists Number (Overnight Visitors),AlQassim,279147.0,2022,09
211,Tourists Number (Overnight Visitors),AlQassim,306215.0,2023,09
212,Tourists Number (Overnight Visitors),AlQassim,233187.0,2021,12
213,Tourists Number (Overnight Visitors),Aseer,448544.0,2023,02
214,Tourists Number (Overnight Visitors),Aseer,513029.0,2022,04
215,Tourists Number (Overnight Visitors),Aseer,281209.0,2022,06
216,Tourists Number (Overnight Visitors),Aseer,1192372.0,2023,07
217,Tourists Number (Overnight Visitors),Aseer,456876.0,2023,10
218,Tourists Number (Overnight Visitors),Aseer,641634.0,2023,11
219,Tourists Number (Overnight Visitors),Aseer,556564.0,2023,12
220,Tourists Number (Overnight Visitors),Eastern Province,1141790.0,2023,04
221,Tourists Number (Overnight Visitors),Eastern Province,632441.0,2022,06
222,Tourists Number (Overnight Visitors),Eastern Province,710812.0,2021,08
223,Tourists Number (Overnight Visitors),Eastern Province,873699.0,2022,08
224,Tourists Number (Overnight Visitors),Eastern Province,678578.0,2022,12
225,Tourists Number (Overnight Visitors),Hail,222938.0,2022,01
226,Tourists Number (Overnight Visitors),Hail,167726.0,2022,03
227,Tourists Number (Overnight Visitors),Hail,201187.0,2023,03
228,Tourists Number (Overnight Visitors),Hail,98837.0,2023,05
229,Tourists Number (Overnight Visitors),Hail,379081.0,2022,07
230,Tourists Number (Overnight Visitors),Hail,130601.0,2023,07
231,Tourists Number (Overnight Visitors),Hail,128020.0,2021,09
232,Tourists Number (Overnight Visitors),Hail,129187.0,2022,12
233,Tourists Number (Overnight Visitors),Jazan,246886.0,2023,02
234,Tourists Number (Overnight Visitors),Jazan,173450.0,2021,03
235,Tourists Number (Overnight Visitors),Jazan,155334.0,2022,03
236,Tourists Number (Overnight Visitors),Jazan,310647.0,2021,05
237,Tourists Number (Overnight Visitors),Jazan,257619.0,2022,07
238,Tourists Number (Overnight Visitors),Jazan,95185.0,2022,09
239,Tourists Number (Overnight Visitors),Jazan,116191.0,2023,09
240,Tourists Number (Overnight Visitors),Jazan,220290.0,2021,10
241,Tourists Number (Overnight Visitors),Jouf,98404.0,2023,04
242,Tourists Number (Overnight Visitors),Jouf,104358.0,2022,05
243,Tourists Number (Overnight Visitors),Jouf,61761.0,2022,09
244,Tourists Number (Overnight Visitors),Jouf,80191.0,2021,10
245,Tourists Number (Overnight Visitors),Jouf,55171.0,2021,12
246,Tourists Number (Overnight Visitors),Madinah,500722.0,2023,03
247,Tourists Number (Overnight Visitors),Madinah,287437.0,2021,04
248,Tourists Number (Overnight Visitors),Madinah,250211.0,2021,06
249,Tourists Number (Overnight Visitors),Madinah,279202.0,2022,06
250,Tourists Number (Overnight Visitors),Madinah,650764.0,2023,06
251,Tourists Number (Overnight Visitors),Madinah,523139.0,2023,07
252,Tourists Number (Overnight Visitors),Makkah,1198175.0,2021,03
253,Tourists Number (Overnight Visitors),Makkah,2204132.0,2023,07
254,Tourists Number (Overnight Visitors),Makkah,1125115.0,2022,12
255,Tourists Number (Overnight Visitors),Najran,76058.0,2023,02
256,Tourists Number (Overnight Visitors),Najran,63019.0,2023,05
257,Tourists Number (Overnight Visitors),Najran,82504.0,2021,10
258,Tourists Number (Overnight Visitors),Najran,80222.0,2021,11
259,Tourists Number (Overnight Visitors),Najran,57125.0,2021,12
260,Tourists Number (Overnight Visitors),Northern Borders,124274.0,2022,01
261,Tourists Number (Overnight Visitors),Northern Borders,75809.0,2022,04
262,Tourists Number (Overnight Visitors),Northern Borders,56611.0,2023,05
263,Tourists Number (Overnight Visitors),Northern Borders,134262.0,2023,06
264,Tourists Number (Overnight Visitors),Northern Borders,54444.0,2022,12
265,Tourists Number (Overnight Visitors),Riyadh,1120515.0,2021,01
266,Tourists Number (Overnight Visitors),Riyadh,760632.0,2021,02
267,Tourists Number (Overnight Visitors),Riyadh,1082452.0,2022,04
268,Tourists Number (Overnight Visitors),Riyadh,1060746.0,2023,05
269,Tourists Number (Overnight Visitors),Riyadh,1355376.0,2021,11
270,Tourists Number (Overnight Visitors),Riyadh,1533375.0,2023,12
271,Tourists Number (Overnight Visitors),Tabuk,165132.0,2021,03
272,Tourists Number (Overnight Visitors),Tabuk,194259.0,2022,03
273,Tourists Number (Overnight Visitors),Tabuk,217231.0,2021,05
274,Tourists Number (Overnight Visitors),Tabuk,261394.0,2023,08
275,Tourists Number (Overnight Visitors),Tabuk,145688.0,2022,09
276,Tourists Number (Overnight Visitors),Tabuk,252144.0,2021,11
277,Tourists Number (Overnight Visitors),Total,4408037.0,2021,03
278,Tourists Number (Overnight Visitors),Total,6502156.0,2023,03
279,Tourists Number (Overnight Visitors),Total,8036131.0,2022,04
280,Tourists Number (Overnight Visitors),Total,7246109.0,2022,05
281,Tourists Number (Overnight Visitors),Total,4165569.0,2021,06
282,Tourists Number (Overnight Visitors),Total,4493546.0,2021,12
283,Tourists Number (Overnight Visitors),Total,6484089.0,2023,12
284,Tourists Spending (SAR),Al Bahah,32259515.85,2023,01
285,Tourists Spending (SAR),Al Bahah,44424048.12,2023,02
286,Tourists Spending (SAR),Al Bahah,61416722.79,2022,04
287,Tourists Spending (SAR),Al Bahah,25895176.97,2022,06
288,Tourists Spending (SAR),Al Bahah,170320838.87,2022,08
289,Tourists Spending (SAR),Al Bahah,40754130.06,2022,10
290,Tourists Spending (SAR),Al Bahah,46273684.65,2023,10
291,Tourists Spending (SAR),AlQassim,385995850.9,2023,03
292,Tourists Spending (SAR),AlQassim,509212357.01,2021,05
293,Tourists Spending (SAR),AlQassim,254932378.37,2021,06
294,Tourists Spending (SAR),AlQassim,533813219.12,2021,07
295,Tourists Spending (SAR),AlQassim,545137601.48,2023,07
296,Tourists Spending (SAR),AlQassim,219156493.55,2021,10
297,Tourists Spending (SAR),AlQassim,559250754.81,2023,10
298,Tourists Spending (SAR),AlQassim,427642996.12,2021,11
299,Tourists Spending (SAR),Aseer,628210473.23,2023,01
300,Tourists Spending (SAR),Aseer,444756392.35,2021,02
301,Tourists Spending (SAR),Aseer,416727696.1,2022,02
302,Tourists Spending (SAR),Aseer,651126650.17,2023,02
303,Tourists Spending (SAR),Aseer,444559617.14,2022,04
304,Tourists Spending (SAR),Aseer,735947550.38,2023,04
305,Tourists Spending (SAR),Aseer,1051940457.25,2021,05
306,Tourists Spending (SAR),Aseer,571637076.45,2022,05
307,Tourists Spending (SAR),Aseer,469044608.9,2023,05
308,Tourists Spending (SAR),Aseer,357357039.61,2022,06
309,Tourists Spending (SAR),Aseer,2429069024.9,2022,07
310,Tourists Spending (SAR),Aseer,281613917.21,2022,09
311,Tourists Spending (SAR),Aseer,330629269.14,2021,12
312,Tourists Spending (SAR),Eastern Province,1454036673.15,2021,01
313,Tourists Spending (SAR),Eastern Province,797590403.87,2022,04
314,Tourists Spending (SAR),Eastern Province,1481223649.1,2023,04
315,Tourists Spending (SAR),Eastern Province,1634264237.54,2021,05
316,Tourists Spending (SAR),Eastern Province,1131424123.91,2021,06
317,Tourists Spending (SAR),Eastern Province,1177513215.46,2021,08
318,Tourists Spending (SAR),Eastern Province,1055113415.43,2022,08
319,Tourists Spending (SAR),Hail,260029504.76,2022,02
320,Tourists Spending (SAR),Hail,178383095.16,2023,02
321,Tourists Spending (SAR),Hail,151748474.01,2021,03
322,Tourists Spending (SAR),Hail,288303941.31,2022,03
323,Tourists Spending (SAR),Hail,243875162.53,2023,03
324,Tourists Spending (SAR),Hail,282932204.14,2022,05
325,Tourists Spending (SAR),Hail,369684068.35,2023,06
326,Tourists Spending (SAR),Hail,928571708.61,2022,07
