,Indicator,Province,Value,year,month
664,Tourists Number (Overnight Visitors),Madinah,443723.0,2021,01
665,Tourists Number (Overnight Visitors),Madinah,390244.0,2023,02
666,Tourists Number (Overnight Visitors),Madinah,293061.0,2021,03
667,Tourists Number (Overnight Visitors),Madinah,773333.0,2022,04
668,Tourists Number (Overnight Visitors),Madinah,553587.0,2023,04
669,Tourists Number (Overnight Visitors),Madinah,381905.0,2021,10
670,Tourists Number (Overnight Visitors),Madinah,366580.0,2022,12
671,Tourists Number (Overnight Visitors),Makkah,1445499.0,2023,02
672,Tourists Number (Overnight Visitors),Makkah,1361018.0,2021,04
673,Tourists Number (Overnight Visitors),Makkah,2163229.0,2023,04
674,Tourists Number (Overnight Visitors),Makkah,2125268.0,2021,05
675,Tourists Number (Overnight Visitors),Makkah,2072431.0,2022,05
676,Tourists Number (Overnight Visitors),Makkah,3022765.0,2022,07
677,Tourists Number (Overnight Visitors),Makkah,1975918.0,2023,08
678,Tourists Number (Overnight Visitors),Makkah,1268430.0,2021,09
679,Tourists Number (Overnight Visitors),Makkah,1169428.0,2022,09
680,Tourists Number (Overnight Visitors),Najran,55717.0,2021,03
681,Tourists Number (Overnight Visitors),Najran,81276.0,2021,05
682,Tourists Number (Overnight Visitors),Najran,43828.0,2021,06
683,Tourists Number (Overnight Visitors),Najran,52823.0,2022,06
684,Tourists Number (Overnight Visitors),Najran,156630.0,2023,06
685,Tourists Number (Overnight Visitors),Najran,104803.0,2021,07
686,Tourists Number (Overnight Visitors),Najran,183918.0,2022,07
687,Tourists Number (Overnight Visitors),Najran,104720.0,2023,07
688,Tourists Number (Overnight Visitors),Najran,100409.0,2023,11
689,Tourists Number (Overnight Visitors),Northern Borders,76032.0,2021,01
690,Tourists Number (Overnight Visitors),Northern Borders,93776.0,2023,01
691,Tourists Number (Overnight Visitors),Northern Borders,110373.0,2022,02
692,Tourists Number (Overnight Visitors),Northern Borders,59066.0,2021,03
693,Tourists Number (Overnight Visitors),Northern Borders,85893.0,2023,03
694,Tourists Number (Overnight Visitors),Northern Borders,102968.0,2021,07
695,Tourists Number (Overnight Visitors),Northern Borders,82483.0,2022,08
696,Tourists Number (Overnight Visitors),Northern Borders,77579.0,2023,08
697,Tourists Number (Overnight Visitors),Northern Borders,72992.0,2023,09
698,Tourists Number (Overnight Visitors),Northern Borders,84874.0,2021,10
699,Tourists Number (Overnight Visitors),Northern Borders,96409.0,2022,11
700,Tourists Number (Overnight Visitors),Riyadh,1653045.0,2022,01
701,Tourists Number (Overnight Visitors),Riyadh,745191.0,2021,04
702,Tourists Number (Overnight Visitors),Riyadh,1488316.0,2023,06
703,Tourists Number (Overnight Visitors),Riyadh,1503380.0,2022,08
704,Tourists Number (Overnight Visitors),Riyadh,1149141.0,2022,10
705,Tourists Number (Overnight Visitors),Tabuk,206791.0,2021,01
706,Tourists Number (Overnight Visitors),Tabuk,220168.0,2022,02
707,Tourists Number (Overnight Visitors),Tabuk,220964.0,2023,03
708,Tourists Number (Overnight Visitors),Tabuk,163959.0,2021,04
709,Tourists Number (Overnight Visitors),Tabuk,218853.0,2022,04
710,Tourists Number (Overnight Visitors),Tabuk,246430.0,2022,05
711,Tourists Number (Overnight Visitors),Tabuk,158157.0,2022,06
712,Tourists Number (Overnight Visitors),Tabuk,134512.0,2022,12
713,Tourists Number (Overnight Visitors),Total,4375914.0,2021,02
714,Tourists Number (Overnight Visitors),Total,6204755.0,2022,03
715,Tourists Number (Overnight Visitors),Total,6727912.0,2021,05
716,Tourists Number (Overnight Visitors),Total,5002991.0,2023,05
717,Tourists Number (Overnight Visitors),Total,10795554.0,2022,07
718,Tourists Number (Overnight Visitors),Total,5482250.0,2021,08
719,Tourists Number (Overnight Visitors),Total,6985948.0,2023,08
720,Tourists Number (Overnight Visitors),Total,7003149.0,2022,11
721,Tourists Number (Overnight Visitors),Total,4350255.0,2022,12
722,Tourists Spending (SAR),Al Bahah,40889284.55,2021,02
723,Tourists Spending (SAR),Al Bahah,90482742.81,2023,04
724,Tourists Spending (SAR),Al Bahah,208515699.42,2021,05
725,Tourists Spending (SAR),Al Bahah,416487508.36,2022,07
726,Tourists Spending (SAR),Al Bahah,54266418.0,2021,09
727,Tourists Spending (SAR),Al Bahah,52442867.93,2023,09
728,Tourists Spending (SAR),Al Bahah,72448934.08,2021,10
729,Tourists Spending (SAR),AlQassim,340394915.94,2022,05
730,Tourists Spending (SAR),AlQassim,371096227.14,2022,08
731,Tourists Spending (SAR),Aseer,575188825.54,2022,01
732,Tourists Spending (SAR),Aseer,294100817.86,2022,03
733,Tourists Spending (SAR),Aseer,906488719.52,2021,06
734,Tourists Spending (SAR),Aseer,711899089.45,2023,08
735,Tourists Spending (SAR),Aseer,296775351.03,2022,10
736,Tourists Spending (SAR),Eastern Province,1300083605.87,2021,03
737,Tourists Spending (SAR),Eastern Province,978286565.33,2022,03
738,Tourists Spending (SAR),Eastern Province,1511213106.47,2023,07
739,Tourists Spending (SAR),Eastern Province,1652264468.18,2023,11
740,Tourists Spending (SAR),Eastern Province,1012174615.43,2021,12
741,Tourists Spending (SAR),Eastern Province,651402062.48,2022,12
742,Tourists Spending (SAR),Hail,236169291.74,2021,01
743,Tourists Spending (SAR),Hail,167936594.73,2021,02
744,Tourists Spending (SAR),Hail,255884048.22,2023,11
745,Tourists Spending (SAR),Jazan,297658226.25,2023,01
746,Tourists Spending (SAR),Jazan,207199485.9,2023,02
747,Tourists Spending (SAR),Jazan,189140119.98,2022,04
748,Tourists Spending (SAR),Jazan,117990283.18,2022,06
749,Tourists Spending (SAR),Jazan,272632383.19,2021,08
750,Tourists Spending (SAR),Jazan,234280785.37,2021,09
751,Tourists Spending (SAR),Jazan,125751864.26,2022,10
752,Tourists Spending (SAR),Jazan,251300626.95,2021,11
753,Tourists Spending (SAR),Jazan,361109266.61,2023,11
754,Tourists Spending (SAR),Jouf,297061180.58,2022,01
755,Tourists Spending (SAR),Jouf,206030689.05,2022,02
756,Tourists Spending (SAR),Jouf,192350335.97,2022,04
757,Tourists Spending (SAR),Jouf,119424114.09,2023,04
758,Tourists Spending (SAR),Jouf,105104416.02,2021,08
759,Tourists Spending (SAR),Jouf,99242542.09,2023,09
760,Tourists Spending (SAR),Jouf,105546008.04,2022,10
761,Tourists Spending (SAR),Jouf,92967204.17,2021,12
762,Tourists Spending (SAR),Jouf,110642758.25,2023,12
763,Tourists Spending (SAR),Madinah,816909769.91,2022,01
764,Tourists Spending (SAR),Madinah,393198170.75,2021,03
765,Tourists Spending (SAR),Madinah,1036537489.29,2022,04
766,Tourists Spending (SAR),Madinah,399915175.91,2022,06
767,Tourists Spending (SAR),Madinah,527780902.65,2023,08
768,Tourists Spending (SAR),Madinah,365666234.56,2022,12
769,Tourists Spending (SAR),Makkah,1847830260.46,2023,01
770,Tourists Spending (SAR),Makkah,1933280183.87,2021,02
771,Tourists Spending (SAR),Makkah,3884238336.53,2021,05
772,Tourists Spending (SAR),Makkah,2104436500.29,2022,11
773,Tourists Spending (SAR),Makkah,2256558503.64,2023,11
774,Tourists Spending (SAR),Makkah,1987365581.91,2021,12
775,Tourists Spending (SAR),Makkah,932482642.16,2022,12
776,Tourists Spending (SAR),Najran,136582152.17,2023,02
777,Tourists Spending (SAR),Najran,170981905.19,2022,04
778,Tourists Spending (SAR),Najran,108139320.49,2023,04
779,Tourists Spending (SAR),Najran,133190084.69,2022,05
780,Tourists Spending (SAR),Najran,124259759.2,2022,10
781,Tourists Spending (SAR),Northern Borders,194383356.12,2022,03
782,Tourists Spending (SAR),Northern Borders,132747767.63,2021,04
783,Tourists Spending (SAR),Northern Borders,129929124.51,2023,04
784,Tourists Spending (SAR),Northern Borders,335707040.3,2022,08
785,Tourists Spending (SAR),Northern Borders,124758604.48,2021,09
786,Tourists Spending (SAR),Northern Borders,98590080.84,2023,09
787,Tourists Spending (SAR),Northern Borders,133103423.11,2022,11
788,Tourists Spending (SAR),Riyadh,2769144034.0,2023,01
789,Tourists Spending (SAR),Riyadh,1373554544.51,2021,02
790,Tourists Spending (SAR),Riyadh,1518754823.68,2023,05
791,Tourists Spending (SAR),Riyadh,1356695389.94,2021,06
792,Tourists Spending (SAR),Riyadh,2748868808.36,2022,07
793,Tourists Spending (SAR),Riyadh,1698160251.44,2021,08
794,Tourists Spending (SAR),Riyadh,2750234369.57,2022,08
795,Tourists Spending (SAR),Riyadh,2327375994.43,2023,09
796,Tourists Spending (SAR),Riyadh,1557202588.44,2021,10
797,Tourists Spending (SAR),Riyadh,3033582739.6,2023,10
798,Tourists Spending (SAR),Tabuk,368928354.16,2021,04
799,Tourists Spending (SAR),Tabuk,261976607.18,2023,04
800,Tourists Spending (SAR),Tabuk,362310359.84,2021,08
801,Tourists Spending (SAR),Tabuk,422177251.98,2022,08
802,Tourists Spending (SAR),Tabuk,447287118.77,2021,11
803,Tourists Spending (SAR),Tabuk,359184427.49,2023,11
804,Tourists Spending (SAR),Tabuk,134147760.91,2022,12
805,Tourists Spending (SAR),Tabuk,433175293.22,2023,12
818,Tourists Number (Overnight Visitors),Al Bahah,48472.0,2022,01
819,Tourists Number (Overnight Visitors),Al Bahah,34469.0,2021,02
820,Tourists Number (Overnight Visitors),Al Bahah,43728.0,2022,03
821,Tourists Number (Overnight Visitors),Al Bahah,91577.0,2022,05
822,Tourists Number (Overnight Visitors),Al Bahah,139665.0,2021,08
823,Tourists Number (Overnight Visitors),Al Bahah,157036.0,2022,08
824,Tourists Number (Overnight Visitors),Al Bahah,104824.0,2023,08
825,Tourists Number (Overnight Visitors),Al Bahah,72000.0,2021,11
826,Tourists Number (Overnight Visitors),Al Bahah,53722.0,2023,11
827,Tourists Number (Overnight Visitors),AlQassim,324087.0,2021,01
828,Tourists Number (Overnight Visitors),AlQassim,390502.0,2022,01
829,Tourists Number (Overnight Visitors),AlQassim,349713.0,2022,02
830,Tourists Number (Overnight Visitors),AlQassim,375143.0,2022,05
831,Tourists Number (Overnight Visitors),AlQassim,241182.0,2021,06
832,Tourists Number (Overnight Visitors),AlQassim,616403.0,2023,06
833,Tourists Number (Overnight Visitors),AlQassim,448717.0,2021,07
834,Tourists Number (Overnight Visitors),AlQassim,428167.0,2021,11
835,Tourists Number (Overnight Visitors),AlQassim,415283.0,2022,11
836,Tourists Number (Overnight Visitors),Aseer,491541.0,2021,01
837,Tourists Number (Overnight Visitors),Aseer,501582.0,2023,03
838,Tourists Number (Overnight Visitors),Aseer,495447.0,2023,04
839,Tourists Number (Overnight Visitors),Aseer,1293412.0,2023,06
840,Tourists Number (Overnight Visitors),Aseer,614477.0,2021,08
841,Tourists Number (Overnight Visitors),Aseer,522430.0,2022,11
842,Tourists Number (Overnight Visitors),Aseer,365521.0,2022,12
843,Tourists Number (Overnight Visitors),Eastern Province,956874.0,2023,01
844,Tourists Number (Overnight Visitors),Eastern Province,936612.0,2023,02
845,Tourists Number (Overnight Visitors),Eastern Province,1117327.0,2023,03
846,Tourists Number (Overnight Visitors),Eastern Province,904806.0,2021,05
847,Tourists Number (Overnight Visitors),Eastern Province,902744.0,2023,05
848,Tourists Number (Overnight Visitors),Eastern Province,670397.0,2022,09
849,Tourists Number (Overnight Visitors),Eastern Province,1404080.0,2023,11
850,Tourists Number (Overnight Visitors),Eastern Province,1017995.0,2023,12
851,Tourists Number (Overnight Visitors),Hail,124398.0,2023,01
852,Tourists Number (Overnight Visitors),Hail,116427.0,2021,02
853,Tourists Number (Overnight Visitors),Hail,98517.0,2022,06
854,Tourists Number (Overnight Visitors),Hail,124346.0,2021,08
855,Tourists Number (Overnight Visitors),Hail,141959.0,2023,09
856,Tourists Number (Overnight Visitors),Hail,159911.0,2021,10
857,Tourists Number (Overnight Visitors),Hail,216386.0,2023,11
858,Tourists Number (Overnight Visitors),Hail,129366.0,2021,12
859,Tourists Number (Overnight Visitors),Hail,131549.0,2023,12
860,Tourists Number (Overnight Visitors),Jazan,297021.0,2021,01
861,Tourists Number (Overnight Visitors),Jazan,205688.0,2022,02
862,Tourists Number (Overnight Visitors),Jazan,188810.0,2023,03
863,Tourists Number (Overnight Visitors),Jazan,167231.0,2021,06
864,Tourists Number (Overnight Visitors),Jazan,113161.0,2023,07
865,Tourists Number (Overnight Visitors),Jazan,183404.0,2022,10
866,Tourists Number (Overnight Visitors),Jazan,123109.0,2022,12
867,Tourists Number (Overnight Visitors),Jouf,74102.0,2021,01
868,Tourists Number (Overnight Visitors),Jouf,54716.0,2021,03
869,Tourists Number (Overnight Visitors),Jouf,62742.0,2021,04
870,Tourists Number (Overnight Visitors),Jouf,115401.0,2022,04
871,Tourists Number (Overnight Visitors),Jouf,99842.0,2021,07
872,Tourists Number (Overnight Visitors),Jouf,63736.0,2022,12
873,Tourists Number (Overnight Visitors),Madinah,465742.0,2022,02
874,Tourists Number (Overnight Visitors),Madinah,447597.0,2021,05
875,Tourists Number (Overnight Visitors),Madinah,889452.0,2022,07
876,Tourists Number (Overnight Visitors),Madinah,360375.0,2022,10
877,Tourists Number (Overnight Visitors),Madinah,520917.0,2021,11
878,Tourists Number (Overnight Visitors),Madinah,529551.0,2022,11
879,Tourists Number (Overnight Visitors),Madinah,678525.0,2023,11
880,Tourists Number (Overnight Visitors),Makkah,1781854.0,2022,03
881,Tourists Number (Overnight Visitors),Makkah,1424077.0,2023,05
882,Tourists Number (Overnight Visitors),Makkah,1189735.0,2022,06
883,Tourists Number (Overnight Visitors),Makkah,1683137.0,2021,10
884,Tourists Number (Overnight Visitors),Makkah,1852298.0,2021,11
885,Tourists Number (Overnight Visitors),Makkah,1911198.0,2022,11
886,Tourists Number (Overnight Visitors),Makkah,1147845.0,2021,12
887,Tourists Number (Overnight Visitors),Najran,74951.0,2021,01
888,Tourists Number (Overnight Visitors),Najran,76835.0,2023,03
889,Tourists Number (Overnight Visitors),Najran,76416.0,2021,04
890,Tourists Number (Overnight Visitors),Najran,97739.0,2023,04
891,Tourists Number (Overnight Visitors),Najran,122891.0,2022,08
892,Tourists Number (Overnight Visitors),Najran,81145.0,2022,10
893,Tourists Number (Overnight Visitors),Najran,87871.0,2023,10
894,Tourists Number (Overnight Visitors),Najran,98814.0,2023,12
895,Tourists Number (Overnight Visitors),Northern Borders,70458.0,2021,08
896,Tourists Number (Overnight Visitors),Northern Borders,60338.0,2022,09
897,Tourists Number (Overnight Visitors),Northern Borders,111255.0,2023,11
898,Tourists Number (Overnight Visitors),Riyadh,1364905.0,2023,01
899,Tourists Number (Overnight Visitors),Riyadh,1478679.0,2022,03
900,Tourists Number (Overnight Visitors),Riyadh,1072745.0,2021,05
901,Tourists Number (Overnight Visitors),Riyadh,1623135.0,2022,05
902,Tourists Number (Overnight Visitors),Riyadh,1388876.0,2021,07
903,Tourists Number (Overnight Visitors),Riyadh,1497871.0,2023,07
904,Tourists Number (Overnight Visitors),Riyadh,763818.0,2021,09
905,Tourists Number (Overnight Visitors),Riyadh,891212.0,2022,09
906,Tourists Number (Overnight Visitors),Riyadh,1357970.0,2023,09
907,Tourists Number (Overnight Visitors),Riyadh,979718.0,2021,10
908,Tourists Number (Overnight Visitors),Riyadh,978457.0,2022,12
909,Tourists Number (Overnight Visitors),Tabuk,273220.0,2023,10
910,Tourists Number (Overnight Visitors),Tabuk,205224.0,2022,11
911,Tourists Number (Overnight Visitors),Tabuk,260953.0,2023,11
912,Tourists Number (Overnight Visitors),Tabuk,152355.0,2021,12
913,Tourists Number (Overnight Visitors),Total,5919708.0,2021,01
914,Tourists Number (Overnight Visitors),Total,5398560.0,2021,10
915,Tourists Number (Overnight Visitors),Total,6712751.0,2021,11
916,Tourists Spending (SAR),Al Bahah,75157578.99,2021,01
917,Tourists Spending (SAR),Al Bahah,41924749.67,2022,02
918,Tourists Spending (SAR),Al Bahah,60308176.08,2023,05
919,Tourists Spending (SAR),Al Bahah,87179752.63,2023,08
920,Tourists Spending (SAR),Al Bahah,39580898.74,2023,11
921,Tourists Spending (SAR),Al Bahah,13110752.61,2022,12
922,Tourists Spending (SAR),AlQassim,451744922.09,2022,01
923,Tourists Spending (SAR),AlQassim,287333543.31,2023,01
924,Tourists Spending (SAR),AlQassim,485981867.13,2022,02
925,Tourists Spending (SAR),AlQassim,235674680.71,2021,03
926,Tourists Spending (SAR),AlQassim,314835635.78,2022,03
927,Tourists Spending (SAR),AlQassim,789866877.69,2023,06
928,Tourists Spending (SAR),AlQassim,548675529.29,2022,07
929,Tourists Spending (SAR),AlQassim,421191519.6,2023,08
930,Tourists Spending (SAR),AlQassim,317271865.83,2022,09
931,Tourists Spending (SAR),AlQassim,334157429.15,2022,11
932,Tourists Spending (SAR),AlQassim,427476890.07,2023,12
933,Tourists Spending (SAR),Aseer,434826807.65,2021,03
934,Tourists Spending (SAR),Aseer,2163741887.94,2021,07
935,Tourists Spending (SAR),Aseer,605214900.97,2023,09
936,Tourists Spending (SAR),Aseer,810847895.96,2023,11
937,Tourists Spending (SAR),Eastern Province,1736172978.98,2022,01
938,Tourists Spending (SAR),Eastern Province,1038780546.58,2023,01
939,Tourists Spending (SAR),Eastern Province,1062182056.2,2022,02
940,Tourists Spending (SAR),Eastern Province,1143373256.21,2023,02
941,Tourists Spending (SAR),Eastern Province,787501056.09,2022,06
942,Tourists Spending (SAR),Eastern Province,1681866034.06,2023,06
943,Tourists Spending (SAR),Eastern Province,1703996507.83,2021,07
944,Tourists Spending (SAR),Eastern Province,948468625.12,2021,10
945,Tourists Spending (SAR),Hail,307576289.76,2022,01
946,Tourists Spending (SAR),Hail,203215462.33,2023,01
947,Tourists Spending (SAR),Hail,268120504.86,2022,04
948,Tourists Spending (SAR),Hail,285531337.34,2021,05
949,Tourists Spending (SAR),Hail,221798856.38,2022,06
950,Tourists Spending (SAR),Hail,441529209.65,2021,07
951,Tourists Spending (SAR),Hail,201965979.87,2023,07
952,Tourists Spending (SAR),Hail,314176520.42,2021,11
953,Tourists Spending (SAR),Hail,163604555.8,2022,12
954,Tourists Spending (SAR),Jazan,238179370.96,2021,03
955,Tourists Spending (SAR),Jazan,295199315.6,2023,03
956,Tourists Spending (SAR),Jazan,369047492.34,2021,07
957,Tourists Spending (SAR),Jazan,184408387.72,2022,08
958,Tourists Spending (SAR),Jazan,129112931.69,2023,10
959,Tourists Spending (SAR),Jazan,213669364.26,2021,12
960,Tourists Spending (SAR),Jazan,243066901.71,2023,12
961,Tourists Spending (SAR),Jouf,231618471.86,2022,03
962,Tourists Spending (SAR),Jouf,188805278.71,2023,06
963,Tourists Spending (SAR),Jouf,458794641.63,2022,07
964,Tourists Spending (SAR),Jouf,241909400.35,2023,07
965,Tourists Spending (SAR),Madinah,456189849.99,2023,01
966,Tourists Spending (SAR),Madinah,425952360.29,2021,08
967,Tourists Spending (SAR),Madinah,468771268.07,2023,09
968,Tourists Spending (SAR),Madinah,835170603.91,2021,11
969,Tourists Spending (SAR),Madinah,642794451.34,2023,11
970,Tourists Spending (SAR),Makkah,3091998275.71,2023,04
971,Tourists Spending (SAR),Makkah,1883922231.68,2023,05
972,Tourists Spending (SAR),Makkah,3867833918.19,2021,07
973,Tourists Spending (SAR),Makkah,5525141166.35,2022,07
974,Tourists Spending (SAR),Makkah,2802709649.59,2023,07
975,Tourists Spending (SAR),Najran,205173654.86,2022,01
976,Tourists Spending (SAR),Najran,196576071.7,2022,02
977,Tourists Spending (SAR),Najran,118714238.96,2021,04
978,Tourists Spending (SAR),Najran,182166859.9,2021,07
979,Tourists Spending (SAR),Najran,56310508.8,2022,09
980,Tourists Spending (SAR),Najran,206124828.15,2023,11
981,Tourists Spending (SAR),Najran,278723766.21,2023,12
982,Tourists Spending (SAR),Northern Borders,149356943.98,2021,01
983,Tourists Spending (SAR),Northern Borders,175185618.25,2023,01
984,Tourists Spending (SAR),Northern Borders,108072664.06,2021,02
985,Tourists Spending (SAR),Northern Borders,493686343.07,2022,07
986,Tourists Spending (SAR),Northern Borders,98630290.49,2023,07
987,Tourists Spending (SAR),Northern Borders,128733541.96,2023,10
988,Tourists Spending (SAR),Northern Borders,184752049.73,2023,12
989,Tourists Spending (SAR),Riyadh,2054162704.93,2021,01
990,Tourists Spending (SAR),Riyadh,1505860475.53,2021,03
991,Tourists Spending (SAR),Riyadh,2263070631.19,2022,03
992,Tourists Spending (SAR),Riyadh,1370155563.51,2021,04
993,Tourists Spending (SAR),Riyadh,2341705111.6,2022,05
994,Tourists Spending (SAR),Riyadh,1340761589.01,2021,09
995,Tourists Spending (SAR),Tabuk,756611903.49,2022,01
996,Tourists Spending (SAR),Tabuk,346053136.75,2022,04
997,Tourists Spending (SAR),Tabuk,278846758.6,2023,05
998,Tourists Spending (SAR),Tabuk,494921390.24,2021,07
999,Tourists Spending (SAR),Tabuk,253176374.49,2021,09
1000,Tourists Spending (SAR),Tabuk,449574342.41,2022,10
1001,Tourists Spending (SAR),Tabuk,217967759.16,2021,12
1006,Tourists Spending (SAR),Total,5944044152.66,2022,10
